"lon","lat"
-76.0901272,43.1777431
-76.1334533,43.0591953
-76.1209153,43.0517125
-76.1609358,43.0539554
-76.0717698,42.9914763
-76.1498321,43.0468174
-76.2002154,43.0285504
-76.062843,42.991116
-76.0455632,43.0197255
-76.072158,42.991153
-76.0677505,43.0358177
-76.1337005,43.0509121
-76.094182,43.036191
-76.001772,42.9651319
-76.059077,43.077989
-76.260572,43.041881
-76.0415569,43.0273993
-76.0730345,43.0448121
-76.1352602,43.0605318
-76.1433394,43.0470987
-76.149205,43.044185
-76.1294252,43.0031514
-76.2082868,43.104011
-76.477512,43.06669
-76.470895,43.068895
-76.4745222,43.0672575
-76.1314291,43.0613339
-76.124042,43.054322
-76.099025,43.0433031
-76.220127,43.03414
-76.0388602,43.0265884
-76.1511767,43.0752366
-76.008947,43.028323
-76.0206362,43.0548596
-76.0415569,43.0273993
-76.0206362,43.0548596
-76.1443064,43.0465613
-76.193212,43.048284
-76.1372677,43.0458122
-75.9513694,43.0717468
-76.208699,43.103814
NA,NA
-76.1794173,42.904145
-76.1396494,42.9607039
-76.1794173,42.904145
-76.4291017,42.947011
-76.247791,43.099962
-76.1566863,43.0704676
-76.4323712,42.9472298
-76.0892477,43.0491594
-76.1474244,43.0481221
-76.0683316,43.0634472
-76.150268,43.049001
-76.1526719,43.0451785
-76.108009,42.794973
-76.1330444,43.0606832
-76.0142348,43.0285325
-76.2345841,43.1637453
-76.1492326,43.0402266
-76.225065,43.141814
-76.2111457,43.112187
-76.0965862,43.0849834
-76.1433394,43.0470987
-76.1374563,43.0084655
-76.131561,43.0844171
-76.1292679,43.0835864
-76.117729,43.0445285
-76.4552866,43.2063671
-76.134969,43.0606269
-76.1571432,43.0680985
-76.075027,43.092334
-76.1423698,43.0558868
-75.9868894,43.0010119
-76.069273,43.02785
-76.3453879,42.9541385
-76.342278,42.987713
-76.339687,42.982984
-76.332182,42.977527
-76.1049031,43.0583616
-76.102053,43.032114
-76.2267878,43.140786
-76.1443064,43.0465613
-76.1423596,43.0200248
-76.185092,43.08788
-76.1421419,43.0982039
-76.1497882,43.044032
-76.1435565,43.0480626
-76.33532,43.1479893
-76.1463601,43.0378103
-76.155877,43.0410433
-76.1407575,43.2381242
-76.0758169,43.0385831
-76.1497882,43.044032
-76.1241804,43.0637925
-76.105928,43.043264
-76.1115093,43.0686542
-76.1352602,43.0605318
-76.1553788,43.0470413
-76.0008019,43.0769067
-76.108589,43.026044
NA,NA
-76.1435143,43.0508448
-76.1720716,43.032668
